#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
MOVEMENT_SPEED;Movement Speed;Vitesse de déplacement;Bewegungsgeschwindigkeit;;Velocidad de movimiento;Velocità di movimento;;;;;;;;x
EXPERIMENTALITY;Experimentality;Imprévisibilité;Unberechenbarkeit;;Imprevisibilidad;Imprevedibilità;;;;;;;;x
CU_LIGHT_INFANTRY;Light Foot Troops;Infanterie légère;Leichte Infanterie;;Infantería ligera;Fanteria Leggera;;;;;;;;x
CU_HEAVY_INFANTRY;Heavy Foot Troops;Infanterie lourde;Schwere Infanterie;;Infantería pesada;Fanteria Pesante;;;;;;;;x
CU_CAVALRY;Mounted Troops;Cavalerie;Kavallerie;;Caballería;Cavalleria;;;;;;;;x
MORALE_DEFENCE;Morale Defence;Maintien du moral;Verteidigungsmoral;;Moral defensa;Morale della Difesa;;;;;;;;x
DAMAGE;Damage;Dégâts;Schaden;;Daño;Danno;;;;;;;;x
PURSUIT;Pursuit;Poursuite;Verfolgung;;Persecución;Inseguimento;;;;;;;;x
RETREAT;Retreat;Retraite;Rückzug;;Retirada;Ritirata;;;;;;;;x
MARTIAL_INFLUENCE;Martial Influence;Influence martiale;Einfluss der Kriegskunst;;Influencia marcial;Effetto della Competenza Militare;;;;;;;;x
FLANKING;Flanking;Attaque sur le flanc;Flankenangriff;;Flanqueo;Aggiramento;;;;;;;;x
CENTER;Leading the Center;Mène le centre;Führung im Zentrum;;Dirigiendo el centro;Comandante del Centro;;;;;;;;x
DEFENCE;Defence;Défense;Verteidigung;;Defensa;Difesa;;;;;;;;x
CANNOT_PLAY_MUSLIM_WITHOUT_DLC;You cannot play Muslim without The Sword of Islam DLC;Vous ne pouvez jouer un seigneur musulman sans le DLC 'Sword of Islam';Das Spielen als Muslim ist ohne das DLC §YSword of Islam§! nicht möglich;;No puedes jugar como musulmán sin el DLC The Sword of Islam;Non puoi giocare con i personaggi Musulmani senza il DLC Sword of Islam;;;;;;;;x
NOT_ALLOWED_MUSLIM;Not allowed to play §YMuslim§! without The Sword of Islam DLC!;N'est pas autorisé à jouer §Yun seigneur musulman§! sans le DLC 'Sword of Islam';Spielen als §YMuslim§! ist ohne das DLC §YSword of Islam§! nicht erlaubt!;;¡No se te permite jugar como §Ymusulmán§! sin el DLC The Sword of Islam!;Non è permesso giocare nelle vesti di un §YSignore Musulmano§! senza il DLC Sword of Islam!;;;;;;;;x
NOT_ALLOWED_MUSLIM_MP;§Y$PLAYER$§! not allowed to play §YMuslim§! without The Sword of Islam DLC;Il n'est pas permis à §Y$PLAYER$§! de jouer §Yun seigneur musulman§! sans le DLC 'Sword of Islam';§Y$PLAYER$§! ist nicht erlaubt als §YMuslim§! ohne das DLC §YSword of Islam§! zu spielen;;§Y$PLAYER$§! no puede jugar como §Ymusulmán§! sin el DLC The Sword of Islam!;§Y$PLAYER$§! non è autorizzato a giocare nelle vesti di §YSignore Musulmano§! senza il DLC Sword of Islam;;;;;;;;x
RD_NOT_PLAYABLE_WITHOUT_MUSLIM_DLC;Muslims are not playable without The Sword of Islam DLC;Les musulmans ne sont pas jouables sans le DLC 'Sword of Islam';Muslime sind ohne das DLC §YSword of Islam§! nicht spielbar;;No se puede jugar con musulmanes sin el DLC The Sword of Islam;I Personaggi Musulmani non sono giocabili senza il DLC Sword of Islam;;;;;;;;x
MUST_SELECT_PLAYER;Must select a Character to play!;Vous devez sélectionner un personnage pour jouer;Sie müssen einen Charakter auswählen um zu spielen!;;¡Debes elegir un personaje para jugar!;Devi selezionare un Personaggio per giocare!;;;;;;;;x
