#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x;
opinion_hajj_promised;Promised to go on Hajj.;A promis de faire le hajj;Hat versprochen, auf Haddsch zu gehen.;;Prometió hacer el hach.;Ha promesso di partire per l'Hajj.;;;;;;;;x;
opinion_bring_on_hajj;Became Hajjaj together;Ont fait le hajj ensemble;Waren zusammen auf Haddsch;;Nos convertimos en hach juntos;Siamo diventati Hajjaj insieme;;;;;;;;x;
opinion_jihad_promised;Promised Jihad;A promis de faire le djihad;Versprach Dschihad;;Prometió Yihad;Ha promesso di fare la Jihad;;;;;;;;x;
opinion_attepmt_hajj;Berated me about Hajj;M'a réprimandé au sujet du hajj;Schalt mich wegen Haddsch;;Me amonestó acerca del hach;Mi ha rimproverato riguardo l'Hajj;;;;;;;;x;
opinion_declined_hajj;Declined Hajj;A décliné l'invitation de faire le hajj;Lehnte Haddsch ab;;Rechazó el hach;Ha rifiutato l'Hajj;;;;;;;;x;
opinion_refused_hajj;Refused to go on Hajj with me;A refusé de faire le hajj avec moi;Weigerte sich, mit mir auf Haddsch zu gehen;;Se negó a hacer el hach conmigo;Ha rinunciato a partire per l'Hajj con me;;;;;;;;x;
opinion_hajj_saved_from_bandit;Saved from bandits at Hajj;A été sauvé des bandits pendant le hajj;Rettete ihn auf Haddsch vor Banditen;;Salvado de bandidos en el hach;Mi ha salvato dai banditi durante l'Hajj;;;;;;;;x;
opinion_hajj_saving_on_hajj;Saved him from bandits;L'a sauvé des bandits;Rettete ihn vor Banditen;;Le salvé de los bandidos;L'ho salvato dai banditi;;;;;;;;x;
opinion_hajj_attempt_murder;Broke Truce of Hajj;A rompu la trêve du hajj;Hat den Waffenstillstand des Haddsch gebrochen;;Rompió Tregua del hach;Ha rotto la tregua dell'Hajj;;;;;;;;x;
opinion_hajj_rivalry_mended;Positive talk on Hajj;Discours positif à propos du hajj;Positives Gespräch auf Haddsch;;Charla positiva sobre el hach;Chiacchierata costruttiva durante l'Hajj;;;;;;;;x;
opinion_helped_wudu;Helped with Wudu;Aidé avec les ablutions;Hat mit Wudu geholfen;;Ha ayudado con el Wudu;Aiutato con il Wudu;;;;;;;;x;
