#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
LEDGER_SORT_DELAYED;§GClick to sort using this column§W;§GCliquez pour trier cette colonne§W;§GZum Sortieren nach dieser Spalte hier klicken§W;;§GClic para ordenar usando esta columna§W;§GClicca per ordinare secondo questa colonna§W;;;;;;;;x
show_true_humility;Showed his true Humility;a prouvé son humilité;Zeigte seine wahre Ergebenheit;;Ha mostrado su auténtica humildad;Ha mostrato la sua vera Umiltà;;;;;;;;x
shown_true_humility;Likes our Humility;admire notre humilité;Mag unsere Ergebenheit;;Aprecia nuestra humildad;Apprezza la nostra Umiltà;;;;;;;;x
talent_recognized;Recognizes my talent;reconnaît mon talent;Erkennt mein Talent;;Reconoce mi talento;Riconosce il mio talento;;;;;;;;x
slothful_ruler;Slothful Ruler;Dirigeant paresseux;Fauler Herrscher;;Gobernante perezoso;Sovrano Pigro;;;;;;;;x
nick_the_lisp_and_lame;the Lisp and Lame;[This.GetLeLa] Bègue boiteu[This.GetXSe];[This.Getderdie] Lispelnde und Lahme;;el Tartamudo y Cojo;il Bleso e lo Zoppo;;;;;;;;x
ANY_WARD_STARTS;Any ward;N'importe quel garde;Jeder Bezirk;;Cualquier sala;Qualunque distretto;;;;;;;;x
TITLE_CANNOT_USURP_BEFORE;Cannot usurp this title before §Y$DATE$§!;Vous ne pouvez pas usurper ce titre avant le §Y$DATE$§!;Kann sich diesen Titel nicht vor §Y$DATE$§! aneignen;;¡No es posible usurpar este título antes de §Y$DATE$§!;Non si può usurpare il titolo prima del §Y$DATE$§!;;;;;;;;x
fair;Attractive;Beauté;Attraktiv;;Atractivo;Attraente;;;;;;;;x
c_grassland_cheremisa_adj;Kerzhenetsian;kerjenetsienne;Kerschenezisch;;Kerzhenetsiano;Kerzhenetsiano;;;;;;;;x
c_mountain_cheremisa_adj;Cheremisan;tchérémisse;Tscheremissisch;;Cheremisano;Cheremisano;;;;;;;;x
PROV589;Kerzhenets;Kerjenets;Kerschenez;;Kerzhenets;Kerženec;;;;;;;;x
PROV591;Cheremisa;Tchérémisse;Tscheremiss;;Cheremisa;Cheremisa;;;;;;;;x
black_honor;Breaking Feudal Obligations;Contrevenir aux obligations féodales;Lehensverpflichtungen nicht erfüllen;;Rompiendo las Obligaciones Feudales;Rottura delle Obbligazioni Feudali;;;;;;;;x
EVTOPTF40020;Expose the assassins employer!;Dévoiler le commanditaire des assassins !;Entlarvt den Auftraggeber des Attentäters!;;¡Exponer al empleador de los asesinos!;Denuncia il responsabile dei sicari!;;;;;;;;x
EVTTOOLTIP40026;will be exposed as an employer of assassins.;sera dévoilé en tant que Commanditaire des assassins.;wird als ein Auftraggeber von Attentätern entlarvt werden.;;será expuesto como empleador de asesinos.;sarà denunciato come un responsabile dei sicari.;;;;;;;;x
EVTDESC40026;Not only did our assassin get discovered, he also managed to implicate that we were behind it.  Now [From.GetBestName] is showing proofs to everyone in the [Root.PrimaryTitle.GetFullName] that we have broken our feudal contract with a vassal.;Ils ont mis la main sur notre assassin et celui-ci a osé révéler que nous étions derrière tout cela. [From.Get_only_Le_Title][From.GetBestName] prouve maintenant aux gens [Root.PrimaryTitle.Get_du_RealmFull] que nous avons brisé notre contrat féodal avec un vassal.;Nicht nur, dass unser Attentäter entlarvt wurde, er hat es auch noch fertig gebracht, uns mit hineinzuziehen, weil wir hinter dem Ganzen stehen würden. Nun legt [From.GetBestName] vor jedem im [Root.PrimaryTitle.GetFullName] Zeugnis ab, dass wir unseren Lehensvertrag mit einem Vasallen gebrochen hätten.;;No solo ha descubierto a nuestro asesino, sino que ha conseguido averiguar que estábamos detrás de él. Ahora [From.GetBestName] muestra pruebas a todos en [Root.PrimaryTitle.GetFullName] que evidencian que hemos roto nuestro contrato feudal con un vasallo.;Non solo il nostro sicario è stato scoperto, ma ha anche rivelato il nostro coinvolgimento. Ora [From.GetBestName] va in giro in tutta [Root.PrimaryTitle.GetFullName] a mostrare le prove che abbiamo rotto il contratto feudale con un Vassallo.;;;;;;;;x
EVTOPTA40026;This is bad news...;Cela ne me dit rien qui vaille...;Das sind schlechte Neuigkeiten ...;;Son malas noticias...;Queste sono brutte notizie....;;;;;;;;x
deceitful_martial;Appearing Martial;Soi-disant brave;Kriegerisch erscheinend;;Aspecto Marcial;Apparente Competenza Militare;;;;;;;;x
deceitful_stewardship;Faking Stewardship;Intendance fourbe;Verwaltungsfähigkeit vortäuschend;;Fingir actuar en su beneficio;Amministrazione Ingannevole;;;;;;;;x
deceitful_diplomacy;Appearing Diplomatic;Soi-disant diplomatique;Diplomatisch erscheinend;;Aspecto Diplomático;Apparente Diplomazia;;;;;;;;x
deceitful_learning;Faking Learning;Apprentissage fourbe;Das Lernen vortäuschend;;Fingir Aprendizaje;Erudizione Ingannevole;;;;;;;;x
EVTDESC3260;I am not the most martial of rulers and sometimes it appears as if I am almost incompetent when it comes to behaving like a knight. Luckily, I know how to manipulate people...;Je ne suis pas le plus brave des souverains, parfois même je semble être incapable de me conduire en chevalier. Heureusement, je sais comment manipuler les gens...;Ich bin nicht der kriegerischste aller Herrscher und manchmal scheint es so, als wäre ich geradezu unfähig, wenn es darum geht, mich wie ein Ritter zu benehmen. Zum Glück verstehe ich es, Menschen zu manipulieren ...;;No soy el más marcial de los gobernantes y a veces parezco incluso incompetente a la hora de comportarme como un caballero. Por suerte, se como manipular a la gente...;Non sono il più coraggioso dei Sovrani nell'arte della guerra ed ogni tanto mi dimostro addirittura incompetente nel maneggiare armi e cavalli. Per fortuna, so come manipolare le persone...;;;;;;;;x
EVTOPTA3260;Talk the talk and Talk the talk..;Parler pour parler et parler pour parler...;Lasst Euren Worten noch mehr Worte folgen ...;;Marear la perdiz...;Bla, bla, bla...;;;;;;;;x
EVTOPTB3260;Let [Root.job_marshal.GetTitledFirstName] get the blame.;Laisser [Root.job_marshal.Get_le_TitledFirstName] endosser la responsabilité.;Lasst [Root.job_marshal.GetTitledFirstName] die Schuld zukommen.;;Dejar que [Root.job_marshal.GetTitledFirstName] cargue con la culpa.;Lasciamo che [Root.job_marshal.GetTitledFirstName] si prenda la responsabilità.;;;;;;;;x
EVTDESC3261;I simply can not keep up with handling the day to day business of my demesne. I rely on others, but manipulate them to believe that I am doing the harder things.;Je ne peux plus gérer les affaires quotidiennes de mon domaine. Je compte sur les autres, mais je les manipule également pour qu'ils pensent que c'est moi qui accomplis les tâches les plus difficiles.;Ich schaffe es einfach nicht, die täglichen Geschäfte meiner Domäne zu bewältigen. Ich verlasse mich auf andere, manipuliere sie aber, so dass sie glauben, ich würde die schwierigeren Dinge erledigen.;;No puedo seguir encargándome de los asuntos diarios de mis dominios. Delego en otros, pero les hago creer que yo me encargo de la parte más difícil.;Non riesco proprio a stare dietro alla gestione delle attività quotidiane del mio dominio. Delego i compiti ad altri, facendo però credere loro che sia io a svolgere i compiti più difficili.;;;;;;;;x
EVTOPTA3261;Talk the talk and Talk the talk..;Parler pour ne rien dire, mais parler...;Lasst Euren Worten noch mehr Worte folgen ...;;Marear la perdiz...;Bla, bla, bla...;;;;;;;;x
EVTOPTB3261;Let [Root.job_treasurer.GetTitledFirstName] get the hard work.;Laisser [Root.job_treasurer.Get_le_TitledFirstName] s'occuper des tâches difficiles.;Lasst [Root.job_treasurer.GetTitledFirstName] die harte Arbeit erledigen.;;Dejar que [Root.job_treasurer.GetTitledFirstName] haga el trabajo duro.;Lasciate che [Root.job_treasurer.GetTitledFirstName] si occupi del lavoro più duro.;;;;;;;;x
EVTDESC3262;Sometimes the niceties of diplomacy pass me by and puts me in awkward positions. However, by careful manipulation of my court, I've managed to let my courtiers take the blame when things go bad.;Parfois, les subtilités de la diplomatie m'échappent et me mettent dans de fâcheuses situations. Par contre, en manipulant minutieusement ma Cour, j'ai réussi à persuader les courtisans d'endosser la responsabilité à ma place lorsque les choses se corsent.;Manchmal fehlt es mir an Feingefühl für die Diplomatie, was mich in unbeholfene Situationen bringt. Wie auch immer, durch sorgfältige Manipulation meines Hofstaats konnte ich es bewerkstelligen, dass meine Höflinge stets die Schuldigen sind, wenn die Dinge schlecht stehen.;;A veces las sutilezas de la diplomacia me superan y me encuentro en situaciones incómodas. Sin embargo, gracias a mi cuidadosa manipulación de la corte, consigo que mis cortesanos carguen con la culpa cuando las cosas salen mal.;A volte le sottigliezze della diplomazia mi sfuggono e mi mettono in situazioni scomode. Tuttavia, grazie ad un'attenta manipolazione della mia corte, sono riuscito a far sì che la colpa ricada sui miei cortigiani quando qualcosa va storto.;;;;;;;;x
EVTOPTA3262;They serve me after all..;Ils me servent après tout...;Sie dienen mir am Ende doch ...;;Al fin y al cabo me sirven…;Dopotutto sono qui per servirmi...;;;;;;;;x
