#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
EVTDESC60010;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the [catholic.GetName] faith!;Son Excellence [Root.Get_le_TitledName] et tous ses vassaux se sont convertis au [GetFrenchCatholicisme]?!;[Root.GetHerHisCap]e Lordschaft [Root.GetTitledName] und all [Root.GetHerHis]e Vasallen haben konvertiert und den [catholic.GetName]en Glauben angenommen!;;?El Gran [Root.GetTitledName] y todos sus vasallos se han convertido y abrazado la fe [GetSpanishCatolica]!;Il grande [Root.GetTitledName] e tutti i [Root.GetHerHis] Vassalli sono stati convertiti e hanno abbracciato la fede [catholic.GetName]!;;;;;;;;x
EVTDESC60011;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Orthodox faith!;Son Excellence [Root.Get_le_TitledName] et tous ses vassaux se sont convertis ? l'orthodoxie?!;[Root.GetHerHisCap]e Lordschaft [Root.GetTitledName] und all [Root.GetHerHis]e Vasallen haben konvertiert und den orthodoxen Glauben angenommen!;;?El Gran [Root.GetTitledName] y todos sus vasallos se han convertido y abrazado la fe Ortodoxa!;Il grande [Root.GetTitledName] e tutti i [Root.GetHerHis] Vassalli sono stati convertiti e hanno abbracciato la fede Ortodossa!;;;;;;;;x
EVTDESC60012;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Sunni faith!;Son Excellence [Root.Get_le_TitledName] et tous ses vassaux se sont convertis au sunnisme?!;[Root.GetHerHisCap]e Lordschaft [Root.GetTitledName] und all [Root.GetHerHis]e Vasallen haben konvertiert und den sunnitischen Glauben angenommen!;;?El Gran [Root.GetTitledName] y todos sus vasallos se han convertido y abrazado la fe Sun?!;Il grande [Root.GetTitledName] e tutti i [Root.GetHerHis] Vassalli sono stati convertiti e hanno abbracciato la fede Sunnita!;;;;;;;;x
EVTDESC60013;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Shiite faith!;Son Excellence [Root.Get_le_TitledName] et tous ses vassaux se sont convertis au chiisme?!;[Root.GetHerHisCap]e Lordschaft [Root.GetTitledName] und all [Root.GetHerHis]e Vasallen haben konvertiert und den schiitischen Glauben angenommen!;;?El Gran [Root.GetTitledName] y todos sus vasallos se han convertido y abrazado la fe Chi?!;Il grande [Root.GetTitledName] e tutti i [Root.GetHerHis] Vassalli sono stati convertiti e hanno abbracciato la fede Sciita!;;;;;;;;x
MONTHLY_PROJECTED_COST;Projected Monthly Cost: ?Y$COST$?!;Estimation du co?t mensuel?: ?Y$COST$?!;Gesch?tzte monatliche Kosten: ?Y$COST$?!;;Coste Mensual Presupuestado: ?Y$COST$?!;Costo mensile previsto: ?Y$COST$?!;;;;;;;;x
YEARLY_PROJECTED_COST;Projected Yearly Cost: ?Y$COST$?!;Estimation du co?t annuel?: ?Y$COST$?!;Gesch?tzte j?hrliche Kosten: ?Y$COST$?!;;Coste Anual Presupuestado: ?Y$COST$?!;Costo annuale previsto: ?Y$COST$?!;;;;;;;;x
PER_MONTH;?Y$VAL$?! / Month;?Y$VAL$?! / Mois;?Y$VAL$?! / Monat;;?Y$VAL$?! / Mes;?Y$VAL$?! / Mese;;;;;;;;x
AIREASON_KINGDOMS_DONT_ACCEPT_VASSALAGE;I am a King!;J'ai un rang royal?!;Ich bin ein K?nig!;;?Soy un Rey!;Sono un Re!;;;;;;;;x
ACCEPT;Accept;Accepter;Annehmen;;Aceptar;Accetta;;;;;;;;x
DECLINE;Decline;Refuser;Ablehnen;;Declinar;Rifiuta;;;;;;;;x
HAS_LESS_RAISED_TROOP_DAYS;Troops Raised less than ?Y$DAYS$?! days\n;Troupes lev?es depuis moins de ?Y$DAYS$?! jours\n;Aufgestellte Truppen in den letzten ?Y$DAYS$?! Tagen\n;;Tropas reclutadas menos de ?Y$DAYS$?! D?as\n;Truppe reclutate da meno di ?Y$DAYS$?! giorni\n;;;;;;;;x
HAS_MORE_RAISED_TROOP_DAYS;Troops Raised for at least ?Y$DAYS$?! days\n;Troupes lev?es depuis au moins ?Y$DAYS$?! jours\n;Aufgestellte Truppen seit mindestens ?Y$DAYS$?! Tagen\n;;Tropas reclutadas al menos ?Y$DAYS$?! D?as\n;Truppe reclutate da almeno ?Y$DAYS$?! giorni\n;;;;;;;;x
SET_RAISED_TROOP_OPINION;?Y$ACTIVE$'s?! raised levy opinion days vs ?Y$PASSIVE$?! set to ?Y$MUCH$?!.\n;Le nombre de jours pendant lesquels ?Y$ACTIVE$?! augmente l'opinion sur la lev?e de troupes contre ?Y$PASSIVE$?! passe ? ?Y$MUCH$?!.\n;?Y$ACTIVE$s?! Missfallen bez?glich der Zwangseinberufung durch ?Y$PASSIVE$?! w?hrt noch ?Y$MUCH$?! Tage.\n;;D?as de leva reclutada ?Y$ACTIVE$?! contra ?Y$PASSIVE$?! Puesta a ?Y$MUCH$?!.\n;il numero di giorni durante i quali ?Y$ACTIVE$?! aumenta l'opinione della Leva reclutata contro ?Y$PASSIVE$?! passa a ?Y$MUCH$?!.\n;;;;;;;;x
CONTESTED_TITLE;Contested title: $TITLE$;Titre contest??: $TITLE$;Umstrittener Titel: $TITLE$;;T?tulo disputado: $TITLE$;Titolo contestato: $TITLE$;;;;;;;;x
THREAT_REASON_HATRED;Low Opinion;Mauvaise opinion;Geringe Meinung;;Mala Opini?n;Bassa Opinione;;;;;;;;x
THREAT_REASON_LOVE;High Opinion;Haute opinion;Hohe Meinung;;Buena Opini?n;Alta Opinione;;;;;;;;x
THREAT_REASON_CB;Casus Belli;Casus Belli;Kriegsgrund;;Casus Belli;Casus Belli;;;;;;;;x
THREAT_REASON_PRETENDER;Pretender;Pr?tendant;Anw?rter;;Pretendiente;Pretendente;;;;;;;;x
THREAT_REASON_CLAIMANT;Claimant;Solliciteur;Anspruchsteller;;Aspirante;Richiedente;;;;;;;;x
THREAT_REASON_DISTANCE;Distance;Distance;Entfernung;;Distancia;Distanza;;;;;;;;x
THREAT_LIEGE_CULTURE;Same Culture;M?me culture;Gleiche Kultur;;Misma Cultura;Stessa Cultura;;;;;;;;x
THREAT_LIEGE_RELIGION;Same Religion;M?me religion;Gleiche Religion;;Misma Religi?n;Stessa Religione;;;;;;;;x
THREAT_LIEGE_DEJURELIEGE;DeJure Liege;Seigneur lige de jure;De-jure-Lehnsherr;;Se?or de Iure;Signore De Jure;;;;;;;;x
INGAME_STORE;Ingame Store;Boutique en jeu;Ingame Store;;Tienda del Juego;Negozio del gioco;;;;;;;;x
tut_3c_6;Multilayered Laws;Lois multiples;Vielschichtige Gesetze;;Leyes multiples;Leggi multiple;;;;;;;;x
tut_3c_7;When you open the laws screen, you will see the ducal laws of Brittany. Brittany is de jure a part of France though, so the crown laws of france will affect you too. To see how, you need to click the shield to the upper right.;En ouvrant le menu des lois, vous voyez les lois ducales de Bretagne. La Bretagne fait l?galement partie de la France, et les lois fran?aises vous concerneront ?galement. Pour voir comment, cliquez sur le bouclier en haut ? droite de votre ?cran.;Nach ?ffnen der Ansicht ?Gesetze? wird die f?rstliche Rechtsprechung der Bretagne dargestellt. Die Bretagne ist juristisch ein Teil Frankreichs, das hei?t die Rechtsprechung der franz?sischen Krone ist auch f?r die Bretagne g?ltig. Wie sich dies auswirkt, seht Ihr, wenn Ihr auf den Schild in der rechten, oberen Ecke klickt.;;Al abrir la pantalla Leyes, ver?s las leyes del ducado de Breta?a. No obstante, Breta?a pertenece de facto a Francia, por lo que las leyes de la corona de Francia tambi?n te afectar?n. Para ver c?mo, debes hacer clic en el escudo de la parte superior derecha.;Quando aprirai la Scheda delle Leggi, vedrai le leggi ducali della Bretagna. Tuttavia, la Bretagna ? De Jure una parte della Francia, quindi sarai influenzato anche dalle leggi della Corona Francese. Per vedere come, devi cliccare sullo scudo nell'angolo in alto a destra.;;;;;;;;x
tut_3c_8;Multilayered Laws II;Lois multiples II;Vielschichtige Gesetze II;;Leyes multiples II;Leggi multiple II;;;;;;;;x
tut_3c_9;There are the laws in France that might affect Brittany. On the top part you can see the succesion laws France is using, and also the crowns laws on the bottom half. Click next to end this part.;Certaines lois en vigueur en France peuvent avoir un impact en Bretagne. En haut de la fen?tre, vous trouverez les lois de succession fran?aises, et en bas les lois de couronnement. Cliquez sur Suivant pour terminer cette section.;Einige der Gesetze Frankreichs haben auch Auswirkungen auf die Bretagne. Im oberen Teil seht Ihr, welche Form der Erbfolge in Frankreich g?ltig ist, im unteren Teil werden au?erdem Erlasse der Krone angezeigt. Zum Fortsetzen bitte auf ?Weiter? klicken.;;Las leyes de Francia podr?an afectar a Breta?a. Puedes ver las leyes que rigen en Francia en la parte superior y tambi?n las leyes de la corona en la parte inferior. Haz clic en Siguiente para finalizar esta parte.;Qui ci sono le leggi di Francia che possono influenzare la Bretagna. Nella parte superiore puoi vedere le leggi di successione in uso in Francia e nella parte inferiore le leggi della corona. Clicca su 'seguente' per terminare questa parte.;;;;;;;;x
REINFORCE_TOOLTIP;Next month, $NUM$ new soldier(s) will have been recruited;Le mois prochain, le nombre de soldats recrut?s sera de $NUM$;N?chsten Monat werden $NUM$ neue Soldaten rekrutiert;;El Pr?ximo mes, $NUM$ nuevos soldados habr?n sidos reclutados;Il mese prossimo, saranno reclutati $NUM$ nuovi soldati;;;;;;;;x
TECH_GROWTH_PROG_SETUP;Advancement Progress in Demesne;Progr?s de l'avanc?e dans le domaine;Fortschritt im Herrschaftsgebiet;;Progreso en el desarrollo de la Heredad;Progresso Tecnologico nel Dominio;;;;;;;;x
TECH_GROWTH_PROG_LOG;Progress of $TECH$ advancement in $PROV$ increased to ?Y$PROG$?!;Avanc?e de la technologie $TECH$ en $PROV$ augment?e de ?Y$PROG$?!;$TECH$-Fortschritt in $PROV$ erh?ht auf ?Y$PROG$?!.;;El progreso de $TECH$ desarrollado en $PROV$ aumenta a ?Y$PROG$?!;Progresso della tecnologia $TECH$ in $PROV$ aumentato del ?Y$PROG$?!;;;;;;;;x
TECH_GROWTH_REALM_SETUP;Advancement in Realm;Avanc?e technologique dans le pays;Fortschritt im Reich;;Progreso en el Reino;Progresso nel Regno;;;;;;;;x
TECH_GROWTH_REALM_LOG;Local knowledge of $TECH$ in $PROV$ increased to level ?Y$LEVEL$?!;L'expertise locale en mati?re de $TECH$ a atteint le niveau ?Y$LEVEL$?! en $PROV$;Lokaler Wissensstand von $TECH$ in $PROV$ erh?ht auf Stufe ?Y$LEVEL$?!.;;El conocimiento local de $TECH$ en $PROV$ ha aumentado a nivel ?Y$LEVEL$?!;La conoscenza locale della tecnologia $TECH$ in $PROV$ ? aumentata al livello ?Y$LEVEL$?!;;;;;;;;x
