#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
EVTDESC61152;Your wretch of a former regent that saw you imprisoned on charges of insanity no longer wields any influence at court. The new regent has released you.;Ce mécréant, votre ancien régent qui vous avait mis en prison pour folie, n'exerce plus aucune influence à la Cour. Le nouveau régent vous a libéré.;Der Schuft von einem früheren Regenten, der euch wegen angeblichen Wahnsinns einkerkern hat lassen, hat keinen Einfluss mehr am Hof. Der neue Regent hat euch freigelassen.;;El desgraciado de tu anterior regente, el que te encerró bajo la acusación de estar loco, ya no tiene ninguna influencia en la corte. El nuevo regente te ha liberado.;Quel disgraziato del tuo ex reggente che ti ha fatto imprigionare con accuse di pazzia non ha più alcuna influenza a corte. Il nuovo reggente ti ha fatto rilasciare.;;;;;;;;x
EVTOPTA61152;Not a moment too soon.;C'est pas trop tôt.;Keinen Augenblick zu früh.;;Cuanto tiempo perdido;Era ora...;;;;;;;;x
EVTOPTB61152;Watch out, world! Here I come!;Prenez garde, Ô Monde, me voici !;Gib acht, Welt! Jetzt komme ich!;;¡Atended todo el Mundo! ¡Estoy de vuelta!;Preparati mondo! Sto arrivando!;;;;;;;;x
EVTDESC61219;You have successfully thwarted your opponent's designs on your regency, and can continue to serve at the pleasure of [Root.Liege.GetTitledFirstName].;Vous avez déjoué avec succès les plans de votre adversaire pour devenir régent, et vous pouvez continuer à servir sous la volonté [Root.Liege.Get_du_TitledFirstName].;Ihr habt die Absichten Eures Gegners, Euch die Regentschaft zu entreißen, erfolgreich vereitelt und könnt nun weiterhin [Root.Liege.GetTitledFirstName] dienen.;;Has frustrado existosamente las intenciones de tu oponente sobre tu regencia, y puedes continuar sirviando a [Root.Liege.GetTitledFirstName].;Hai sventato con successo i piani del tuo avversario per diventare reggente, e puoi continuare a servire secondo la volontà di [Root.Liege.GetTitledFirstName].;;;;;;;;x
EVTDESC61245;Like the spineless coward [From.GetSheHe] is, [From.GetTitledFirstName] has refused to rise to your challenge!;Tout lâche qu'[From.GetIlElle] est, [From.Get_le_TitledFirstName] a refusé de relever votre défi.;Der rückgratlose Feigling [From.GetTitledFirstName] hat Eure Herausforderung abgelehnt!;;Como [From.GetSheHe] cobarde despreciable que es, ¿[From.GetTitledFirstName] se ha negado a aceptar tu desafío!;Da codardo quale [From.GetSheHe] è , [From.GetTitledFirstName] ha rifiutato di raccogliere la tua sfida!;;;;;;;;x
EVTOPTA61245;Milksop! Worm!;Chiffe molle ! Vermisseau !;Milchbubi! Wurm!;;¡Gallina!, ¡Gusano!;Smidollato! Verme!;;;;;;;;x
EVTDESC61246;In a desperate effort to save [From.GetHerHis] skin, [From.GetTitledFirstName] has decided to abdicate the position of regent to you.;Dans un dernier effort pour sauver sa peau, [From.Get_le_TitledFirstName] a décidé d'abdiquer son titre de régent[From.Get_E] en votre faveur.;Um [From.GetHerHis]e Haut zu retten, hat [From.GetTitledFirstName] in einem Akt der Verzweiflung die Regentschaft an Euch abgeben.;;En un intento desesperado por salvar su cabeza, [From.GetTitledFirstName] ha decidido cederte su posición como regente.;In un tentativo disperato di salvare la [From.GetHerHis] pelle, [From.GetTitledFirstName] ha deciso di abdicare alla posizione di reggente in tuo favore.;;;;;;;;x
EVTOPTA61246;Well, that was easy.;Bien, c'était trop facile.;Na, das war ja einfach.;;Ha sido facil;Bene, è stato facile.;;;;;;;;x
EVTDESC61226;The blood of your opponent seeps into the ground as you lean on your sword to catch your breath. It was a brief and violent struggle, but the poor fool lies maimed at your feet, clinging pitifully to life. The day is yours.;Le sang de votre adversaire suinte du sol alors que vous vous appuyez sur votre épée afin de reprendre votre souffle. Ce fut un affrontement bref et violent, mais ce pauvre idiot gît mutilé à vos pieds, s'accrochant à ce qu'il lui reste de vie. Ce jour est le vôtre.;Das Blut Eures Gegners weicht langsam den Boden auf, während Ihr Euch auf Euer Schwert lehnt, um ein bisschen durchschnaufen zu können. Es war ein kurzer und grässlicher Kampf und der arme Narr liegt verstümmelt, aber gerade noch so am Leben zu Euren Füßen;;La sangre de tu oponente fluye por los suelos mientras te apoyas en tu espada para coger aliento. Fue un encuentro breve y violento, pero el pobre idiota yace a tus pies, arrastrándose y pidiendo clemencia. Es tu gran día.;Il sangue del tuo avversario bagna il terreno mentre ti appoggi alla tua spada per riprendere fiato. Lo scontro è stato breve e violento, ma il povero stolto ora giace a terra mutilato, pregando pateticamente per la sua vita. È il tuo gran giorno.;;;;;;;;x
EVTDESC61225;The blood of your opponent seeps into the ground as you lean on your sword to catch your breath. It was a brief and violent struggle, but the poor fool lies dead at your feet.;Le sang de votre adversaire suinte du sol alors que vous vous appuyez sur votre épée afin de reprendre votre souffle. Ce fut un affrontement bref et violent, mais ce pauvre idiot gît sans vie à vos pieds.;Das Blut Eures Gegners weicht langsam den Boden auf, während Ihr Euch auf Euer Schwert lehnt, um ein bisschen durchschnaufen zu können. Es war ein kurzer und grässlicher Kampf und der arme Narr liegt tot zu Euren Füßen.;;La sangre de tu oponente fluye por los suelos mientras te apoyas en tu espada para coger aliento. Fue un encuentro breve y violento, pero el pobre idiota yace muerto a tus pies.;Il sangue del tuo avversario bagna il terreno, mentre ti appoggi alla tua spada per riprendere fiato. Lo scontro è stato breve e violento, ma ora il povero stolto giace morto a terra.;;;;;;;;x
