#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x;
PLOT_POWER_CONTRIB_LOWER_THAN;Contribution to $PLOTTER$'s plot to $PLOT$ less than §Y$POWER$%§!\n;Contribution au complot de $PLOTTER$ pour $PLOT$ est inférieure à §Y$POWER$%§!\n;Beteiligung an $PLOTTER$s Plan zum $PLOT$ geringer als §Y$POWER$%§!\n ;;Contribución al complot de $PLOTTER$ sobre $PLOT$ inferior a §Y$POWER$%§!\n;Contributo al complotto di $PLOTTER$ per $PLOT$ inferiore a §Y$POWER$%§!\n;;;;;;;;x;
PLOT_POWER_CONTRIB_AT_LEAST;Contribution to $PLOTTER$'s plot to $PLOT$ at least §Y$POWER$%§!\n;Contribution au complot de $PLOTTER$ pour $PLOT$ est égale ou supérieure à §Y$POWER$%§!\n;Beteiligung an $PLOTTER$s Plan zum $PLOT$ mindestens §Y$POWER$%§!\n ;;Contribución al complot de $PLOTTER$ sobre $PLOT$ de al menos §Y$POWER$%§!\n;Contributo al complotto di $PLOTTER$ per $PLOT$ almeno di §Y$POWER$%§!\n;;;;;;;;x;
KILLER;Killer;Tueur;Mörder;;Asesino;Assassino;;;;;;;;x;
ANY_SPOUSE_STARTS;Any Spouse;N'importe quelle épouse;Jeder Ehepartner;;Cualquier cónyuge;Qualsiasi Sposa;;;;;;;;x;
IS_MAIN_SPOUSE;Is the First Spouse;Est la première épouse;Ist der Erste Ehepartner;;Es el primer cónyuge;È la Prima Sposa;;;;;;;;x;
IS_NOT_MAIN_SPOUSE;Is NOT the First Spouse;N'est pas la première épouse;Ist NICHT der Erste Ehepartner;;$WHO$ se convierte en primer cónyuge de $SPOUSE$.\n;NON è la Prima Sposa;;;;;;;;x;
CONQUEST_CULTURE_EFFECT;Subjugated by §Y$CULTURE$§! Culture\n;Soumis à la culture §Y$CULTURE$§!.\n;Unterworfen von der §Y$CULTURE$§!-Kultur\n;;Sometido por la cultura §Y$CULTURE$§!\n;Sottomesso alla Cultura §Y$CULTURE$§!\n;;;;;;;;x;
CONQUEST_CULTURE_EFFECT_FREED;Freed from the §Y$CULTURE$§! yoke\n;Libéré du joug §Y$CULTURE$§!.\n;Befreit vom Joch des §Y$CULTURE$§!s\n;;Liberado del yugo de la cultura §Y$CULTURE$§!\n;Liberato dal giogo della Cultura §Y$CULTURE$§!\n;;;;;;;;x;
MAKE_PRIMARY_SPOUSE_EFFECT;$WHO$ is made the First Spouse of $SPOUSE$.\n;$WHO$ est faite première épouse de $SPOUSE$.\n;$WHO$ wird der Erste Ehepartner von $SPOUSE$.\n;;$WHO$ se convierte en primer cónyuge de $SPOUSE$.\n;$WHO$ diventa la Prima Sposa di $SPOUSE$.\n;;;;;;;;x;
MAKE_NOT_PRIMARY_SPOUSE_EFFECT;$WHO$ is no longer the First Spouse of $SPOUSE$.\n;$WHO$ n'est plus la première épouse de $SPOUSE$.\n;$WHO$ ist nicht länger der Erste Ehepartner von $SPOUSE$.\n;;$WHO$ ya no es primer cónyuge de $SPOUSE$.\n;$WHO$ non è più la Prima Sposa di $SPOUSE$.\n;;;;;;;;x;
HAVE_CONQUEST_CULTURE;Is subjugated by §Y$CULTURE$§! Culture\n;Est soumis à la culture §Y$CULTURE$§!.\n;Wird von der §Y$CULTURE$§!-Kultur unterworfen\n;;Es sometido por la cultura §Y$CULTURE$§!\n;È sottomesso alla Cultura §Y$CULTURE$§!\n;;;;;;;;x;
