#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
IS_NOT_ADULT;Is NOT an Adult;§YN'est pas§! adulte;Ist NICHT erwachsen;;NO es un adulto;NON è un Adulto;;;;;;;;x
IS_ADULT;Is an Adult;§YEst§! adulte;Ist erwachsen;;Es un adulto;È un Adulto;;;;;;;;x
IS_NOT_MARRIAGE_ADULT;Is NOT old enough to Marry;§YN'est pas§! assez âgé pour se marier;Ist NICHT alt genug, um zu heiraten;;NO tiene la edad mínima para casarse;È TROPPO giovane per Sposarsi;;;;;;;;x
IS_MARRIAGE_ADULT;Is old enough to Marry;§YEst§! assez âgé pour se marier;Ist alt genug, um zu heiraten;;Está en edad de casarse;Ha l'età per Sposarsi;;;;;;;;x
DISEASE_ACTIVATED;Outbreaks of $DISEASE$ can now occur;Une épidémie de $DISEASE$ peut à présent se déclarer;Ausbrüche von $DISEASE$ können nun auftreten;;Pueden aparecer brotes de $DISEASE$;Potrebbero verificarsi delle epidemie di $DISEASE$;;;;;;;;x
AIREASON_IS_PRISONER_OF_CHAR;Is prisoner of §Y[GetTitledFirstName]§!;Est prisonnier de §Y[GetTitledFirstName]§!;Ist Gefangener von §Y[GetTitledFirstName]§!;;Es prisionero de §Y[GetTitledFirstName]§!;È prigioniero di §Y[GetTitledFirstName]§!;;;;;;;;x
SunsetInvasionDLC;Sunset Invasion;Invasion du Soleil Couchant (Sunset Invasion);Sunset Invasion;;Sunset Invasion;Sunset Invasion;;;;;;;;x
NOT_COASTAL;This county is not coastal;Ce comté n'est pas côtièr;Ist KEINE Küstenprovinz;;Esta provincia no es costera;Questa contea non è costiera;;;;;;;;x
NOT_FORBIDDEN_LEAD;This councillor is currently not forbidden to lead armies.\n§GClick to recall and forbid your councillor from leading armies.§!;Ce conseiller ne s'est pas vu interdire de diriger une armée.\n§GCliquez pour le rappeler et interdire à ce conseiller d'en diriger une.§!;Diesem Ratsmitglied ist es derzeit erlaubt, Armeen anzuführen.\n§GHier klicken, um das Ratsmitglied vom Kommando zu entbinden und das Führen von Armeen zu verbieten.§!;;Este consejero no tiene prohibido dirigir ejércitos.\n§GPulsa para llamar y prohibir a tu consejero que lidere ejércitos.§!;A questo consigliere non è attualmente vietato dirigere le armate.\n§GClicca per richiamare il tuo consigliere e impedirgli di dirigere le armate.§!;;;;;;;;x
FORBIDDEN_LEAD;This councillor is currently forbidden to lead armies.\n§GClick to allow this councillor to lead armies.§!;Ce conseiller s'est vu interdire de diriger une armée.\n§GCliquez pour l'autoriser à en diriger une.§!;Diesem Ratsmitglied ist es derzeit verboten, Armeen anzuführen.\n§GHier klicken, um dem Ratsmitglied das Führen von Armeen zu erlauben.§!;;Este consejero tiene prohibido dirigir ejércitos.\n§GPulsa para permitir a tu consejero que lidere ejércitos.§!;A questo consigliere è attualmente vietato dirigere le armate.\n§GClicca per autorizzare il tuo consigliere.§!;;;;;;;;x
DEMAND_RELIGIOUS_CONVERSION_INTERACTION_0;§Y[Recipient.GetFirstName] will be released from prison if [Recipient.GetSubjectPronoun] accepts.§!;§YSi [Recipient.GetFirstName] accepte, [Recipient.GetIlElle] retrouvera sa liberté.§!;§Y[Recipient.GetFirstName] wird aus dem Gefängnis entlassen, wenn [Recipient.GetSubjectPronoun] akzeptiert.§!;;§Y[Recipient.GetFirstName] será liberado si lo acepta.§!;§Y[Recipient.GetFirstName] sarà rilasciato di prigione se [Recipient.GetSubjectPronoun] accetterà.§!;;;;;;;;x
opinion_fought_for_claimant;Fought for as Claimant;S'est battu pour le prétendant ;Kämpfte dafür als Anspruchsteller;;Luchó pos como Solicitante;Ha combattuto come Pretendente;;;;;;;;x
EVTOPTD9001;Ask politely.;Demander poliment;Höflich anfragen.;;Pedir educadamente.;dal balzare alla sua morte. educatamente.;;;;;;;;x
EVTDESC9003;My dear [Root.GetTitle],\n\nI have learned that there are certain factions within the realm working to undermine my rule. If you are involved or planning to become so, I trust that your complicity in these matters ends now.\n\nSigned,\n[From.GetTitledName];M[Root.GetOnA] ch[Root.GetErEre] [Root.GetTitle],\n\nJ'ai appris l'existence dans le Royaume de certaines factions oeuvrant à déstabiliser mon pouvoir. Si vous êtes engagé[Root.Get_E] ou comptez vous engagez dans une telle entreprise, je ne peux que vous prier de cesser immédiatement de vous compromettre dans de telles affaires.\n\nSigné,\n[From.GetTitledName];Geschätzter [Root.GetTitle],\n\nich habe erfahren, dass es innerhalb meines Reiches Fraktionen gibt, die danach trachten, meine Herrschaft zu untergraben. Solltet Ihr Euch einer solchen Fraktion anzuschließen wollen oder es bereits getan haben, so erwarte ich, dass Ihr diese Ambitionen sofort einstellt.\n\nGezeichnet,\n[From.GetTitledName];;Mi estimado [Root.GetTitle],\n\nHa llegado a mis oídos que hay ciertas facciones en el reino trabajando para acabar con mi gobierno. Si estás envuelto en ellas, o te lo estás pensando, confió en que tu complicidad con estos hechos termine ya mismo.\n\nFirmado,\n[From.GetTitledName];Mio caro [Root.GetTitle],\n\nHo saputo che ci sono certe Fazioni nel regno che puntano a minare la mia autorità. Se sei coinvolto o hai intenzione di esserlo, confido che la tua complicità in questa storia finisca adesso.\n\nFirmato,\n[From.GetTitledName];;;;;;;;x
EVTOPTA9003;Best not to risk it...;Mieux vaut ne pas s'y risquer...;Es ist wohl besser, nichts zu riskieren...;;Mejor no arriesgarse...;Meglio non rischiare...;;;;;;;;x
EVTOPTB9003;Ha! This letter was an act of desperation.;Ha ! Cette lettre était un acte de désespoir.;Ha! Dieser Brief war ein Akt der Verzweiflung.;;¡Ja! Esta carta demuestra su desesperación.;Ah! Questa lettera è stato un atto di disperazione.;;;;;;;;x
EVTTOOLTIP9023;You forward a polite request.;Vous tentez une requête polie.;Ihr verschickt eine höfliche Aufforderung.;;Envías una educada respuesta.;Invii una richiesta cortese.;;;;;;;;x
EVTDESC9027;Honored [Root.GetTitle],\n\nFine! I do not like this, but for the sake of the continued prosperity of the realm, I will agree to support any faction of yours. Please don't make me regret this.\n\nSigned,\n[From.GetTitledName];Honorable [Root.GetTitle],\n\nParfait ! Je n'aime point cela, mais au nom de quiétude et de la prospérité du Royaume, je suis d'accord pour vous apporter mon soutien aux factions que vous avez rejointe. Ne me faîtes pas regretter cette décision.\n\nSigné,\n[From.GetTitledName];Geehrter [Root.GetTitle],\n\nnun gut. Ich bin nicht begeistert davon, aber zum Wohle des Reiches werde ich jede Eurer Fraktionen unterstützen. Bitte sorgt dafür, dass ich es nicht bereue.\n\nGezeichnet,\n[From.GetTitledName];;Honorable [Root.GetTitle],\n\n¡Entendido! Pese a que no me gusta, y con motivo de la continuidad de la prosperidad del reino, estoy de acuerdo en apoyar tus facciones. Por favor no hagas que me arrepienta.\n\nFirmado,\n[From.GetTitledName];Onorabile [Root.GetTitle],\n\nD'accordo! Questa storia non mi piace, ma per garantire la prosperità del regno appoggerò la tua Fazione. Ti prego, non farmene pentire.\n\nFirmato,\n[From.GetTitledName];;;;;;;;x
DATA_COLLECTION_AGREEMENT;Would you like to help us improve Crusader Kings II by collecting data on playing habits and the popularity of downloadable content and mods? If you agree, anonymous data concerning Crusader Kings II will be sent to Paradox Interactive when you play the game. Paradox Interactive will not and can not use this data to find out anything about the users.;Souhaitez-vous nous aider à améliorer Crusader Kings II par la collecte de données concernant les habitudes de jeu, la popularité des contenus téléchargeables (DLC) et les mods ?\nSi vous donnez votre accord, des données anonymes concernant Crusader Kings II seront envoyées à Paradox Interactive pendant votre session de jeu. Paradox Interactive ne peut et ne pourra pas utiliser ces données pour collecter d'autres informations concernant les joueurs;Möchten Sie uns helfen, Crusader Kings II noch besser zu gestalten, indem Sie uns erlauben, Daten über Ihre Spielgewohnheiten sowie benutzte DLCs und Mods zu erheben? Mit Ihrem Einverständnis wird Crusader Kings II anonyme Spielinformationen an Paradox Interactive versenden, wenn Sie das Spiel spielen. Paradox Interactive kann diese Daten nicht dazu verwenden, um persönliche Informationen über die Nutzer zu erhalten.;;¿Te gustaría ayudarnos a mejorar Crusader Kings II recolectando información sobre los hábitos de juego y la popularidad de los contenidos descargables y mods? Sí aceptas, se enviará información anónima a Paradox Interactive cada vez que inicies Crusader Kings II. Paradox Interactive no usará ni podrá usar esta información para conocer nada sobre los usuarios.;Vorresti aiutarci a migliorare Crusader Kings II mediante la raccolta di dati sul gioco e sulla popolarità dei contenuti scaricabili (DLC) e delle Mod? Se acconsenti, delle informazioni anonime su Crusader Kings II saranno inviate a Paradox Interactive durante il gioco. Paradox Interactive non può né potrà usare queste informazioni per ricerche sui giocatori.;;;;;;;;x
DATA_COLLECTION_TITLE;Help us Improve Crusader Kings II?;Aidez-nous à améliorer Crusader Kings II;Helfen Sie uns, Crusader Kings II zu verbessern?;;Ayúdenos a Mejorar Crusader Kings II?;Vuoi Aiutarci a migliorare Crusader Kings II?;;;;;;;;x
