#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
MENU_BAR_GAME_CONVERT;Export Game;Exporter une partie;Spiel exportieren;;Exportar Partida;Esporta la Partita;;;;;;;;x
MENU_BAR_GAME_CONVERT_DEL;Export game to EU4;Exporter une partie vers EU4;Spiel nach EU4 exportieren;;Exportar partuda a EU4;Esporta la Partita in EU4;;;;;;;;x
BARBER_TOOLTIP;§YGo to the Barber§!;§YAller chez le barbier§!;§YZum Barbier gehen§!;;§YIr al Peluquero§!;§YVai dal Barbiere§!;;;;;;;;x
RENAME_TITLE_TOOLTIP;Rename Title;Renommer titre;Titel umbenennen;;Renombrar Título;Rinomina il Titolo;;;;;;;;x
CUSTOMIZE_HOUSE_TOOLTIP;Customize House;Personnaliser dynastie;Haus anpassen;;Personaliza tu Dinastía;Personalizza la Casata;;;;;;;;x
CUSTOMIZE_HOUSE_TOOLTIP_DISABLED;You can't customize this dynasty as you have to be top liege of all its members.;Vous ne pouvez pas personnaliser cette dynastie car vous devez être le plus haut seigneur de tous ses membres.;Du kannst diese Dynastie nicht anpassen, da du der oberste Lehnsherr all ihrer Mitglieder sein musst.;;No puedes personalizar esta dinastía porque tienes que ser el Señor de todos sus miembros.;Non puoi personalizzare questa Dinastia: devi essere il Signore di tutti i suoi componenti.;;;;;;;;x
c_lappland_adj;Sápmi;samie;Samisch;;Sápmi;Lappone;;;;;;;;x
RENAME;Rename;Renommer;Umbenennen;;Renombrar;Rinomina;;;;;;;;x
NAME;Name;Nom;Name;;Nombre;Nome;;;;;;;;x
ADJECTIVE;Adjective;Gentilé;Adjektiv;;Adjetivo;Aggettivo;;;;;;;;x
POSSIBLE_PLOT_POWER;Possible Plot Power;Puissance possible du complot;Mögliche Verschwörungsstärke;;Potencial posible del complot;Possibile Potenza del Complotto;;;;;;;;x
AUTO_INVITE_PLOTTERS;Auto Invite Plotters;Invitation automatique des comploteurs;Verschwörer automatisch einladen;;Autoinvitar conspiradores;Invita automaticamente i Cospiratori;;;;;;;;x
AUTO_STOP_PLOTS;Auto Stop Plots;Arrêt auto. des complots;Automatisch beenden;;Autodetener complots;Blocca automaticamente i complotti;;;;;;;;x
AUTO_STOPPED_PLOT_SETUP;Plot Uncovered;Complot découvert;Verschwörung aufgedeckt;;Complot descubierto;Complotto Scoperto;;;;;;;x;
AUTO_STOPPED_PLOT_LOG;§Y$PLOTTER$§!$PLOTTERJOB$ seeks to §Y$PLOTNAME$§!.;§Y$PLOTTER$§!$PLOTTERJOB$ cherche à §Y$PLOTNAME$§!.;§Y$PLOTTER$§!$PLOTTERJOB$ strebt nach §Y$PLOTNAME$§!.;;§Y$PLOTTER$§!$PLOTTERJOB$ pretende §Y$PLOTNAME$§!.;§Y$PLOTTER$§!$PLOTTERJOB$ cerca di §Y$PLOTNAME$§!.;;;;;;;x;
AUTO_STOPPED_PLOT_LETTER;I have discovered a plot where $PLOTTER$ seeks to $PLOTNAME$. I have dispatched an emissary to have him cease this at once.\n\nYour humble spymaster,\n$SPYMASTER$;J'ai découvert un complot par lequel $PLOTTER$ cherche à $PLOTNAME$. J'ai dépêché un émissaire pour lui demander de cesser ces agissements sur l'instant. \n\nVotre humble maître-espion,\n$SPYMASTER$;Ich habe eine Verschwörung aufgedeckt, bei der $PLOTTER$ $PLOTNAME$ erreichen will. Ich habe einen Abgesandten geschickt, um ihn dieses beenden zu lassen.\n\nIhr demütiger Hofspitzel\n$SPYMASTER$;;He descubierto un complot en el que $PLOTTER$ pretende $PLOTNAME$. Le he enviado un emisario para que desista de ello. \n\nTu humilde jefe de espías,\n$SPYMASTER$;Ho scoperto un complotto dove $PLOTTER$ cerca di $PLOTNAME$. Ho inviato un emissario per costringerlo a desistere immediatamente.\n\nIl tuo umile Capo delle Spie,\n$SPYMASTER$;;;;;;;;x
AUTO_STOP_PLOT_START_SETUP;Spymaster sends messengers;Le maître-espion envoie des messagers;Hofspitzel schickt Boten;;El jefe de espías envía emisarios;Il Capo delle Spie invia dei messaggeri;;;;;;;;x
AUTO_STOP_PLOT_START_LOG;$SPYMASTER$ sent out messenger to stop plotters;$SPYMASTER$ envoie des émissaires pour faire cesser les complots;$SPYMASTER$ hat Boten ausgeschickt, um Verschwörer zu stoppen.;;$SPYMASTER$ envia emisarios para hacer desistir a los conspiradores;$SPYMASTER$ ha inviato un messaggero per fermare i cospiratori;;;;;;;;x
AUTO_STOP_PLOT_START_LETTER;I have sent out emissaries to all known plotters to cease immediately.\n\nYour humble spymaster,\n$SPYMASTER$;J'ai envoyé des émissaires auprès de tous les comploteurs connus afin qu'ils cessent immédiatement leurs actions.\n\nVotre humble maître-espion,\n$SPYMASTER$;Ich habe Abgesandte zu allen bekannten Verschwörern geschickt, um diese davon zu unterrichten, ihre Verschwörungen zu beenden.\n\nIhr demütiger Hofspitzel\n$SPYMASTER$;;He enviado emisarios a todos los conspiradores conocidos para que desistan de inmediato.\n\nTu humilde jefe de espías,\n$SPYMASTER$;Ho inviato degli emissari a tutti i cospiratori noti perché desistano immediatamente.\n\nIl tuo umile Capo delle Spie,\n$SPYMASTER$;;;;;;;;x
siege_leader;Siege Leader;Spécialiste des sièges;Belagerungsführer;;Líder del Asedio;Specialista negli Assedi;;;;;;;;x
siege_leader_desc;This character is skilled at leading sieges.;Ce personnage est particulièrement doué pour mener à bien les sièges;Dieser Charakter ist geübt, Belagerungen zu führen;;Este personaje está especializado en liderar asedios;Questo personaggio è abile nel condurre assedi.;;;;;;;;x
SIEGE;Siege;Siège;Belagerung;;Asedio;Assedio;;;;;;;;x
ADD_IP;Add IP;Ajouter IP;IP hinzufügen;;Añadir IP;Aggiungi l'IP;;;;;;;;x
REMOVE_IP;Remove IP;Retirer IP;IP entfernen;;Borrar IP;Rimuovi l'IP;;;;;;;;x
PENDING_PLOT_REQUEST;Waiting for answer.;Attend une réponse.;Wartet auf Antwort.;;Esperando respuesta.;In attesa di una risposta.;;;;;;;;x
ACCEPTED_PLOT_REQUEST;Is backing plot.;Soutient un complot.;Unterstützt Verschwörung.;;Apoyando un complot.;Approva il complotto.;;;;;;;;x
LOADING_TIP_52;You can make selection choose fleets exclusively using the ALT key.;Vous pouvez sélectionner uniquement vos flottes en utilisant la touche ALT.;Sie können eine Auswahl nur auf Flotten treffen, indem Sie die Alt-Taste gedrückt halten.;;Puedes hacer que la tropa seleccionada se embarque usando simplemente la tecla ALT;Puoi selezionare esclusivamente le flotte premendo il tasto ALT.;;;;;;;;x
EXIT;Exit;Sortie;Schließen;;Salir;Esci;;;;;;;;x
CUT;Cut!;Coupez !;Schnitt!;;¡Cortar!;Taglia!;;;;;;;;x
STYLE;Style;Style;Stil;;Estilo;Stile;;;;;;;;x
CAN_PERSUADE_TO_JOIN_PLOT;Might be persuaded with a bag of gold...;Peut être convaincu par une escarcelle d'or...;Könnte von einem Sack Gold überzeugt werden.;;Puede convencersele con un saco de oro...;Può essere persuaso con dell'oro...;;;;;;;;x
city_job_chancellor_arabic;Grand Vizier;Grand vizir;Großwesir;;Gran Visir;Gran Visir;;;;;;;;x
city_job_chancellor_iranian;Grand Vizier;Grand vizir;Großwesir;;Gran Visir;Gran Visir;;;;;;;;x
city_job_chancellor_turkish;Grand Vizier;Grand vizir;Großwesir;;Gran Visir;Gran Visir;;;;;;;;x
city_job_chancellor_west_african;Grand Vizier;Grand vizir;Großwesir;;Gran Visir;Gran Visir;;;;;;;;x
city_job_chancellor_greek;Magistros;Magistros;Magistros;;Magistros;Magistros;;;;;;;;x
city_job_spymaster_greek;Mystikos;Mystikos;Mystikos;;Mystikos;Mystikos;;;;;;;;x
city_job_treasurer_greek;Sakellarios;Sakellarios;Sakellarios;;Sakellarios;Sakellarios;;;;;;;;x
city_job_chancellor_aztec;Cihuacoatl;Cihuacoatl;Cihuacoatl;;Cihuacoatl;Cihuacoatl;;;;;;;;x
city_job_treasurer_aztec;Petlacalcatl;Petlacalcatl;Petlacalcatl;;Petlacalcatl;Petlacalcatl;;;;;;;;x
city_job_spiritual_aztec;Sahagun;Sahagún;Sahagun;;Sahagun;Sahagun;;;;;;;;x
city_job_spymaster_aztec;Tillancalqui;Tillancalqui;Tillancalqui;;Tillancalqui;Tillancalqui;;;;;;;;x
city_job_marshal_aztec;Tlacateccatl;Tlacateccatl;Tlacateccatl;;Tlacateccatl;Tlacateccatl;;;;;;;;x
city_job_chancellor_zoroastrian_group;Astabadh;Astabadh;Astabadh;;Astabadh;Astabadh;;;;;;;;x
city_job_treasurer_zoroastrian_group;Darik-Pat;Darik-pat;Darik-Pat;;Darik-Pat;Darik-Pat;;;;;;;;x
city_job_marshal_zoroastrian_group;Eran Spahbod;Eran spahbod;Eran Spahbod;;Eran Spahbod;Eran Spahbod;;;;;;;;x
city_job_spiritual_zoroastrian_group;Mobad;Mobad;Mobad;;Mobad;Mobad;;;;;;;;x
city_job_spiritual_zoroastrian;Mobad;Mobad;Mobed;;Mobad;Mobad;;;;;;;;x
city_job_spiritual_christian;Court Chaplain;Chapelain;Hofprediger;;Capellán;Cappellano di Corte;;;;;;;;x
city_job_spiritual_orthodox;Ecclesiarch;Ecclesiarque;Ekklesiarch;;Eclesiarca;Ecclesiarca;;;;;;;;x
city_job_spiritual_muslim;Court Imam;Imam de la Cour;Hof-Imam;;Imán de la corte;Imam di Corte;;;;;;;;x
city_job_spiritual_shiite;Court Mullah;Mollah de la Cour;Hof-Mullah;;Mulá de la corte;Mullah di Corte;;;;;;;;x
city_job_spiritual_pagan_group;Chief Diviner;Devin;Oberster Wahrsager;;Gran Chamán;Gran Indovino;;;;;;;;x
city_job_spiritual_pagan;Diviner;Devin;Wahrsager;;Augur;Indovino;;;;;;;;x
city_job_spiritual_baltic_pagan;Diviner;Devin;Wahrsager;;Augur;Indovino;;;;;;;;x
city_job_spiritual_baltic_pagan_reformed;Diviner;Devin;Wahrsager;;Augur;Indovino;;;;;;;;x
city_job_spiritual_finnish_pagan;Diviner;Devin;Wahrsager;;Augur;Indovino;;;;;;;;x
city_job_spiritual_finnish_pagan_reformed;Diviner;Devin ;Wahrsager;;Augur;Indovino;;;;;;;;x
city_job_spiritual_norse_pagan_reformed;Seer;Voyant;Seher;;Vidente;Veggente;;;;;;;;x
city_job_spiritual_norse_pagan;Seer;Voyant;Seher;;Vidente;Veggente;;;;;;;;x
city_job_spiritual_female_norse_pagan_reformed;Seeress;Voyante;Seherin;;Vidente;Indovina;;;;;;;;x
city_job_spiritual_female_norse_pagan;Seeress;Voyante;Seherin;;Vidente;Indovina;;;;;;;;x
city_job_spiritual_slavic_pagan;Diviner;Devin;Wahrsager;;Augur;Indovino;;;;;;;;x
city_job_spiritual_slavic_pagan_reformed;Diviner;Devin;Wahrsager;;Augur;Indovino;;;;;;;;x
city_job_spiritual_tengri_pagan;Diviner;Devin;Wahrsager;;Augur;Indovino;;;;;;;;x
city_job_spiritual_tengri_pagan_reformed;Diviner;Devin;Wahrsager;;Augur;Indovino;;;;;;;;x
EU4ConverterDLC;EUIV Converter;Convertisseur EUIV;EUIV Converter;;;EUIV Converter;;;;;;;;x
CustomizationPackDLC;Customization Pack;;Customization Pack;;;Customization Pack;;;;;;;;x
