#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
AIREASON_CAN_PAY_OWN_RANSOM;§Y[GetTitledFirstName]§! can afford [GetHerHis] own ransom;§Y[GetTitledFirstName]§! peut payer sa propre rançon;§Y[GetTitledFirstName]§! Kann [GetHerHis] Lösegeld selbst zahlen;;§Y[GetTitledFirstName]§! puede permitirse su propio rescate;§Y[GetTitledFirstName]§! può permettersi il proprio riscatto;;;;;;;;x
AIREASON_MARRIAGE_DOES_NOT_MATCH_BETROTHAL;Marriage type does not match the betrothal;Le type de mariage ne correspond pas aux fiançailles;Die Art der Ehe passt nicht zur Art der Verlobung;;El tipo de matrimonio no coincide con el compromiso;Il tipo di matrimonio non corrisponde al fidanzamento;;;;;;;;x
appointment;Appointment;Nomination;Verabredung;;Nombramiento;Appuntamento;;;;;;;;x
AIREASON_WILL_NOT_BE_CONSORT_INFIDELS;§Y[GetTitledFirstName]§! must not become the concubine of an infidel;§Y[GetTitledFirstName]§! ne doit pas entrer en concubinage avec un infidèle;§Y[GetTitledFirstName]§! darf nicht die Konkubine eines Ungläubigen werden;;§Y[GetTitledFirstName]§! no debe convertirse en la concubina de un infiel;§Y[GetTitledFirstName]§! non può essere la concubina di un infedele;;;;;;;;x
SPLIT_IN_HALF_UNIT;Split in Half;Scinder en deux;Zweiteilen;;Partir por la mitad;Dividi a Metà;;;;;;;;x
SPLIT_IN_HALF_UNIT_DRO;Split this unit into two units of approximately equal strength. Units with very large regiments may not be possible to split evenly.;Divise cette unité en deux nouvelles de force approximativement égale. Il se peut que la répartition ne soit pas tout à fait équilibrée si votre unité comporte de très grands régiments.;Teilen Sie diese Einheit in zwei etwa gleich starke Einheiten. Einheiten mit sehr großen Regimentern können eventuell nicht gleichmäßig geteilt werden.;;Divide esta unidad en dos unidades de aproximadamente la misma fuerza. Es posible que las unidades con regimientos muy grandes no puedan dividirse de forma uniforme.;Dividi questa unità in due parti approssimativamente della stessa forza. Le unità con reggimenti molto grandi potrebbero non essere divise in parti uguali.;;;;;;;;x
succ_appointment;Appointment;Nomination;Verabredung;;Nombramiento;Appuntamento;;;;;;;;x
succ_appointment_desc;On death, all titles revert back to the liege.;À la mort du détenteur, tous les titres reviennent au seigneur lige.;Beim Tod fallen alle Titel an den Lehnsherrn zurück.;;Al morir, todos los títulos retornan al señor.;Alla morte, tutti i Titoli tornano al signore.;;;;;;;;x
papal_succession;Papal Succession;Succession pontificale;Päpstliche Nachfolge;;Sucesión papal;Successione Pontificia;;;;;;;;x
succ_papal_succession;Papal Succession;Succession pontificale;Päpstliche Nachfolge;;Sucesión papal;Successione Pontificia;;;;;;;;x
succ_papal_succession_desc;The Pope is elected by the College of Cardinals depending on age, piety, popularity and other factors.;Le Pape est élu par le Collège des Cardinaux selon son âge, sa piété, sa popularité, entre autres facteurs.;Der Papst wird vom Kardinalskollegium aufgrund von Alter, Pietät, Beliebtheit und anderen Faktoren gewählt.;;El Papa es elegido por el Colegio Cardenalicio en función de su edad, piedad, popularidad y otros factores.;Il Papa è eletto dal Collegio dei Cardinali in base all'età, alla pietà, alla popolarità e ad altri fattori.;;;;;;;;x
COMMANDER;Commander;Commandant;Kommandant;;Comandante;Comandante;;;;;;;;x
FAMILY_PALACE;Family Palace;Palais familial;Familienpalast;;Palacio Familiar;Palazzo di Famiglia;;;;;;;;x
HAS_LOWER_SCORE_THAN;Has Lower Score than ;Possède un score inférieur à;Hat niedrigeren Punktstand als ;;Tiene una puntuación inferior a;Ha un Punteggio Inferiore a ;;;;;;;;x
HAS_HIGHER_SCORE_THAN;Has Score of at least ;Possède un score d'au moins;Hat mindestens einen Punktstand von ;;Tiene una puntuación igual o superior a;Ha un Punteggio di almeno ;;;;;;;;x
REP_HAS_FEWER_TPS_THAN;Republic has fewer than §Y$NUM$§! Trade Posts;La république possède moins de §Y$NUM$§! comptoirs commerciaux;Republik hat weniger als §Y$NUM$§! Handelsposten;;La república tiene menos de §Y$NUM$§! puestos comerciales;La Repubblica ha meno di §Y$NUM$§! Stazioni Commerciali;;;;;;;;x
REP_HAS_MORE_TPS_THAN;Republic has at least §Y$NUM$§! Trade Posts;La république possède au moins §Y$NUM$§! comptoirs commerciaux;Republik hat mindestens §Y$NUM$§! Handelsposten;;La república tiene al menos §Y$NUM$§! puestos comerciales;La Repubblica ha almeno §Y$NUM$§! Stazioni Commerciali;;;;;;;;x
#IS_NOT_HISTORICAL;Is NOT historical;N'est pas historique;Ist NICHT historisch;;NO es histórica;NON è storico;;;;;;;;x
#IS_HISTORICAL;Is historical;Est historique;Ist historisch;;Es histórica;È storico;;;;;;;;x
title_cardinal;Cardinal;Cardinal;Kardinal;;Cardenal;Cardinale;;;;;;;;x
crushed_revolt;Crushed Revolt;Révolte réprimée;Aufstand niedergeschlagen;;Ha derrotado una rebelión;Rivolta soffocata;;;;;;;;x
crushed_major_revolt;Crushed Major Revolt;Révolte majeure réprimée;Großen Aufstand niedergeschlagen;;Ha derrotado una rebelión importante;Soffocata una Rivolta Maggiore;;;;;;;;x
COLLEGE_OF_CARDINALS;The College of Cardinals;Le Collège des Cardinaux;Kardinalskollegium;;El Colegio Cardenalicio;Il Collegio dei Cardinali;;;;;;;;x
expected_next_title_cardinal;Expected Next Cardinal;Prochain cardinal prévu;Erwarteter neuer Kardinal;;Presunto próximo cardenal;Prossimo Cardinale Previsto;;;;;;;;x
expected_next_title_cardinal_tooltip;This bishop is probably next in line for a Cardinalship when one becomes available.;Cet évêque sera probablement le prochain cardinal dès qu'une place sera disponible.;Dieser Bischof wird wahrscheinlich als nächster zum Kardinal ernannt, wenn ein Sitz im Kollegium frei wird.;;Este obispo es, probablemente, el próximo candidato a Cardenal cuando haya una vacante.;Questo Vescovo è il candidato più probabile alla nomina a Cardinale, qualora un posto si rendesse libero.;;;;;;;;x
best_candidate_title_cardinal;My Best Cardinal Candidate;Mon meilleur candidat;Mein bester Kardinalskandidat;;Mi mejor candidato a Cardenal;Il Mio Miglior Candidato a Cardinale;;;;;;;;x
