#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
HOLD_ELECTION_EFFECT;An election is held in $TITLE$.\n;Une élection se tient en $TITLE$.\n;In $TITLE$.\n wird gewählt.;;Elección en $TITLE$.\n;Una elezione in corso in $TITLE$.\n;;;;;;;;x
ANTI_POPE_CESSATION_LOG;The Anti-Papacy of §Y$ANTIPOPE$§! has ended.;L'Anti-papauté du §Y$ANTIPOPE$§! a pris fin.;Gegenpapsttum von §Y$ANTIPOPE$§! ist beendet.;;El antipapado de §Y$ANTIPOPE$§! ha terminado.;L'Anti-Papato di §Y$ANTIPOPE$§! è terminato.;;;;;;;;x
TRIGGER_BEST_CRUSADE_CLAIMANT;Best Claimant;Prétendant le plus légitime;Bester Titelforderer;;Mejor pretendiente;Miglior Pretendente;;;;;;;;x
CRUSADE_DESC_DRO_3;Since there are good $RELIGION$ claimants to the Crown of §Y$TITLE$§!, all gained territory will be given to the strongest candidate - currently §Y$RULER$§!. Claimants who contribute to the war are prioritized.;Comme il y a de bons prétendants de religion $RELIGION$ à la couronne de §Y$TITLE$§!, toute les terres conquises seront données au candidat le plus légitime, soit actuellement §Y$RULER$§!.\nLes prétendants contribuant à la guerre y gagneront en légitimité et seront de ce fait priorisé.;Weil es gute $RELIGION$e Titelforderer für die Krone von §Y$TITLE$§! gibt, wird das gesamte eroberte Territorium an den stärksten Kandidaten übergegeben - aktuell ist dies §Y$RULER$§!. Titelforderer, die zum Krieg beitragen, haben ein Vorrecht darauf.;;Como hay buenos pretendientes $RELIGION$ a la corona de §Y$TITLE$§!, todo el territorio conquistado se dará al candidato más fuerte – actualmente §Y$RULER$§!. Pretendientes que contribuyen a la guerra se priorizarán.;Poiché vi sono dei validi pretendenti di fede $RELIGION$ alla Corona di §Y$TITLE$§!, tutti i territori ottenuti saranno attribuiti al candidato più forte - attualmente, §Y$RULER$§!. I pretendenti che partecipano alla guerra avranno la preferenza.;;;;;;;;x
restore_pope_in_rome;Restore the Papacy in Rome;Restaurer la Papauté à Rome;Papsttum erneuern;;Restorar el papado;Ripristina il Papato a Roma;;;;;;;;x
restore_pope_in_rome_desc;The Holy Father has lost control of his secular domain, but it is within my power to restore the Eternal City to him!;Le Saint-Père a perdu le contrôle de son domaine séculier, mais il est en notre pouvoir de le rétablir dans la Cité Éternelle ! ;Der Heilige Vater hat seine weltlichen Besitztümer verloren, aber es liegt in meiner Macht, ihm die Ewige Stadt wieder zurückzugeben!;;El Santo Padre ha perdido su dominio terrenal, pero yo tengo el poder de devolverle la Ciudad Eterna!;Il Santo Padre ha perduto il controllo del suo dominio temporale, ma io ho il potere di restituirgli la Città Eterna!;;;;;;;;x
opinion_restored_to_rome;Restored to Rome;Restauré à Rome;Papsttum in Rom wiederhergestellt;;Restorado en Roma;Restaurato a Roma;;;;;;;;x
opinion_creator_of_rel_heal;Created my Office;A créé mon titre;Schuf mein Amt;;Creó mi oficio;Ha creato la mia Carica;;;;;;;;x
EVTDESC_SOA_2609;This chivalric order owes its name to Santiago Matamoros, or Saint James the Moorslayer as he is known in other parts of the world. The Order of Santiago enjoys the official sponsorship of the [Root.Religion.GetName] Church and its knights have all sworn to purge entire realms of heathens and heretics if so requested by a [Root.Religion.GetName] ruler.;Un nouvel ordre saint a été fondé en Hispanie. Cet Ordre doit son nom à Jacques de Zébédée, un des douze apôtres, également connu sous le nom de Santiago Matamoros - littéralement « le tueur de Maures ».\nL'Ordre de Santiago est soutenu par l'Église [Root.Religion.GetName] et ses chevaliers ont fait voeux de purger des royaumes entiers des infidèles et des païens qui y habitent si un seigneur [Root.GetReligionMasc] leur en fait la demande.;Dieser Ritterorden verdankt seinen Namen Santiago Matamoros, dem Heiligen Jakob, dem Mohrenschlächter. Der Orden steht unter dem Patronat der [Root.Religion.GetName]en Kirche und seine Ritter haben geschworen, ganze Reiche von Ungläubigen und Heiden zu säubern, wenn seine [Root.Religion.GetName]e Majestät dies befiehlt.;;Esta orden de caballería debe su nombre a Santiago Matamoros, conocido en todo el mundo. La Orden de Santiago cuenta con el apoyo oficial de la iglesia [Root.Religion.GetName] y todos sus caballeros han jurado purgar reinos enteros de infieles y paganos, si así lo solicitara un gobernante [Root.Religion.GetName].;Questo ordine cavalleresco deve il proprio nome a Santiago Matamoros, o San Giacomo l'Uccisore dei Mori, come è noto in alcune parti del mondo. L'Ordine di Santiago gode del supporto ufficiale della Chiesa [Root.Religion.GetName] ed i suoi cavalieri hanno giurato estirpare gli infedeli ed gli eretici dall'intero reame, se ciò dovesse essere richiesto da un Sovrano di fede [Root.Religion.GetName].;;;;;;;;x
EVTDESC_SOA_2709;The Order of Calatrava is the most recent addition to the soldiers of the Cross, having just been endorsed in a decree issued by the [Root.Religion.GetName] Church. These knights take their name from a castle recovered in Iberia from the clutches of the Moslem infidel, and they stand ready to combat heathens and defend the pious in the name of any [Root.Religion.GetName] ruler who is willing to provide for their upkeep.;L'Ordre de Calatrava est le plus récent des ordres religieux de la Sainte Croix à avoir été approuvé par un décret de l'Église [Root.Religion.GetName].\nCes chevaliers tiennent leur nom d'un château repris aux infidèles sarrasins en péninsule ibérique et sont prêts à combattre les païens et à défendre les croyants au nom de tout seigneur [Root.GetReligionMasc] suffisamment pieux.;Der Orden von Calatrava ist der jüngste Neuzugang zur Streitmacht des Kreuzes, er wurde gerade erst durch ein Dekret der [Root.Religion.GetName]en Kirche privilegiert. Der Name bezieht sich auf eine den Klauen der muslimischen Ungläubigen in Iberien entrissene Burg und die Ritter stehen bereit zum Kampf gegen die Heiden und zur Verteidigung der Frommen im Namen jedes [Root.Religion.GetName]en Herrschers, der bereit ist, für ihren Unterhalt aufzukommen.;;La Orden de Calatrava es la última adición a los soldados de la cruz, recién aprobada por un decreto de la iglesia [Root.Religion.GetName]. Estos caballeros toman su nombre de un castillo ibérico reconquistado a los musulmanes infieles y están dispuestos a luchar contra los paganos y a defender a los devotos en el nombre de cualquier gobernante [Root.Religion.GetName] que les proporcione los víveres necesarios.;L'Ordine di Calatrava è l'aggiunta più recente ai soldati di Cristo, essendo stato approvato solo ora da un decreto della Chiesa [Root.Religion.GetName]. Questi cavalieri prendono il nome da un castello sottratto alla morsa dei Musulmani in Iberia, e sono pronti a combattere i nemici della fede e difendere i fedeli nel nome di qualunque Sovrano di fede [Root.Religion.GetName] che intenda provvedere al loro mantenimento.;;;;;;;;x
EVTDESC39100;A decree has been issued confirming the formation of a new religious military order - the Knights of St. John. The Knights, who have already protected and cared for sick pilgrims in Jerusalem for some time, now have the full weight of the [Root.Religion.GetName] Church behind them. Pious [Root.Religion.GetName] rulers may call on their support in wars against heretics and heathens, but they will not fight those of their own faith.;L'Église [Root.Religion.GetName] a publié un décret confirmant la formation d'un nouvel ordre religieux : l'Ordre de Saint-Jean de Jérusalem, plus connu sous le nom de « Ordre de l'Hospital ».\nCes chevaliers, qui protègent et soignent déjà les pèlerins se rendant à Jérusalem, bénéficient désormais de l'appui de l'Église [Root.Religion.GetName].\nLes pieux seigneurs chrétiens peuvent désormais faire appel à eux pour les aider dans leurs guerre contre les hérétiques et les païens, mais ils ne combattront pas leurs frères [Root.GetReligionMascPl].;Die [Root.Religion.GetName]e Kirche hat über eine Bulle die Gründung eines neuen religiösen Militärordens bestätigt - den Johanniterorden. Diese Ritter, die bereits seit einiger Zeit in Jerusalem kranke Pilger beschützt und gepflegt haben, können sich nun der vollen Unterstützung der [Root.Religion.GetName]en Kirche sicher sein. In Kriegen gegen Ketzer und Heiden können gottesfürchtige christliche Herrscher auf ihre Unterstützung zählen. Gegen [Root.Religion.GetName]e Glaubensbrüder aber ziehen sie nicht zu Felde.;;La iglesia [Root.Religion.GetName] ha publicado una bula confirmando la creación de una nueva orden religiosa y militar: los Caballeros de San Juan. Estos, que ya llevan tiempo protegiendo y cuidando a peregrinos enfermos en Jerusalén, disponen ahora del pleno apoyo de la iglesia [Root.Religion.GetName]. Los gobernantes cristianos devotos pueden pedirles ayuda en las guerras contra herejes y paganos, pero no lucharán contra otros [Root.Religion.GetName]s.;È stato emesso un decreto per la creazione di un nuovo ordine militare religioso - i Cavalieri di San Giovanni. Questi Cavalieri, che per un certo periodo si sono occupati della protezione e della cura dei pellegrini infermi a Gerusalemme, hanno ora il pieno appoggio della Chiesa [Root.Religion.GetName]. I più ferventi Sovrani di fede [Root.Religion.GetName] possono ora chiedere il loro aiuto nelle guerre contro gli eretici ed gli infedeli, ma essi non combatteranno contro i loro fratelli di fede.;;;;;;;;x
