#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
RCLK_TO_SELECT;§GRight-click to Select§!;§GClic droit pour sélectionner§!;§GZur Auswahl rechtsklicken§!;;§GHaz clic derecho para seleccionar§!;§GClic Destro per Selezionare§!;;;;;;;;x
vassal_sacrifice_decision;Sacrifice;Sacrifier;Opfert;;Sacrifica;Sacrifica;;;;;;;;x
vassal_sacrifice_decision_named;Sacrifice [Root.GetFirstName];Sacrifier [Root.GetFirstName];[Root.GetFirstName] opfern;;Sacrifica a [Root.GetFirstName];Sacrifica [Root.GetFirstName];;;;;;;;x
break_up_with_lover_named;Break up with [Root.GetFirstName];Rompre avec [Root.GetFirstName];Von [Root.GetFirstName] trennen;;Romper la relación con [Root.GetFirstName];Rompi con [Root.GetFirstName];;;;;;;;x
seduce_decision_named;Seduce [Root.GetFirstName];Séduire [Root.GetFirstName];[Root.GetFirstName] verführen;;Seducir [Root.GetFirstName];Seduci [Root.GetFirstName];;;;;;;;x
decision_spy_on_named;Spy On [Root.GetFirstName];Espionner [Root.GetFirstName];[Root.GetFirstName] ausspionieren;;Espiar a [Root.GetFirstName];Spia [Root.GetFirstName];;;;;;;;x
decision_break_free_named;Free [Root.GetFirstName] from Captivity;Libérer [Root.GetFirstName] de sa captivité;[Root.GetFirstName] aus der Gefangenschaft befreien;;Liberar a [Root.GetFirstName] de la cautividad;Libera [Root.GetFirstName] dalla Prigionia;;;;;;;;x
invite_to_party_named;Invite [Root.GetFirstName] to Carousing;Inviter [Root.GetFirstName] à faire ribote;Zum Zechen einladen;;Invitar a [Root.GetFirstName] a Juerga;Invita [Root.GetFirstName] a far Baldoria;;;;;;;;x
duel_decision_named;Duel [Root.GetFirstName];Affronter [Root.GetFirstName] en duel;Zum Duell fordern;;Batir en duelo con [Root.GetFirstName];Duella con [Root.GetFirstName];;;;;;;;x
legitimize_bastard;Legitimize;Légitimer;Legitimieren;;Legitimar;Legittima;;;;;;;;x
legitimize_bastard_named;Legitimize [Root.GetTitledFirstName];Légitimer [Root.Get_le_TitledFirstName];[Root.GetTitledFirstName] legitimieren;;Legitimar a [Root.GetTitledFirstName];Legittima [Root.GetTitledFirstName];;;;;;;;x
convince_to_straighten_up_named;Convince [Root.GetTitledFirstName] to Straighten up;Convaincre [Root.Get_le_TitledFirstName] de se reprendre en main;[Root.GetFirstName] überzeugen, sich zu bessern;;Convencer a [Root.GetTitledFirstName] a enderezarse;Convinci [Root.GetTitledFirstName] a mettersi in riga;;;;;;;;x
send_child_into_hiding;Send into Hiding;Cacher;Ins Versteck schicken;;Esconder;Nascondei;;;;;;;;x
send_child_into_hiding_named;Send [Root.GetFirstName] into Hiding;Envoyer [Root.GetFirstName] se cacher;[Root.GetFirstName] ins Versteck schicken;;Enviar a [Root.GetFirstName] a la Clandestinidad;Manda [Root.GetFirstName] a Nascondersi;;;;;;;;x
take_child_out_of_hiding;Take out of Hiding;Sortir de sa cachette;Aus dem Versteck holen;;Sacar de la Clandestinidad;Richiama dal Nascondiglio;;;;;;;;x
take_child_out_of_hiding_named;Take [Root.GetFirstName] out of Hiding;Sortir [Root.GetFirstName] de sa cachette;[Root.GetFirstName] aus dem Versteck holen;;Sacar a [Root.GetFirstName] de la Clandestinidad;Richiama [Root.GetFirstName] dal suo Nascondiglio;;;;;;;;x
send_spouse_into_hiding;Send into Hiding;Cacher;Ins Versteck schicken;;Esconder;Nascondi;;;;;;;;x
send_spouse_into_hiding_named;Send [Root.GetFirstName] into Hiding;Cacher [Root.GetFirstName];[Root.GetFirstName] ins Versteck schicken;;Enviar a [Root.GetFirstName] a la Clandestinidad;Manda [Root.GetFirstName] a Nascondersi;;;;;;;;x
take_spouse_out_of_hiding;Take out of Hiding;Sortir de sa cachette;Aus dem Versteck holen;;Sacar de la Clandestinidad;Richiama dal Nascondiglio;;;;;;;;x
take_spouse_out_of_hiding_named;Take [Root.GetFirstName] out of Hiding;Sortir [Root.GetFirstName] de sa cachette;[Root.GetFirstName] aus dem Versteck holen;;Sacar a [Root.GetFirstName] de la Clandestinidad;Richiama [Root.GetFirstName] dal suo Nascondiglio;;;;;;;;x
EVENT_SPAWNED;Event Spawned;Créé par un évènement;Durch Ereignis erschienen;;Creado por Evento;Evento Generato;;;;;;;;x
known_sodomite_pagan;Effeminate Man Lover;Amant efféminé;Weibischer Liebhaber;;Amante Afeminado;Amante Effeminato;;;;;;;;x
