#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x;
set_government_type;Government is changed to §Y$GOVERNMENT$§!\n;Le type de gouvernement est changé en §Y$GOVERNMENT$§!\n;Regierungsform ist nun §Y$GOVERNMENT$§!\n;;Gobierno se cambia a §Y$GOVERNMENT$§!\n;Il governo è cambiato in §Y$GOVERNMENT$§!\n;;;;;;;;x;
feudal_government;Feudal;Féodalité;Feudalsystem;;Feudal;Feudale;;;;;;;;x;
republic_government;Republic;République;Republik;;república;Repubblica;;;;;;;;x;
merchant_republic_government;Merchant Republic;République marchande;Handelsrepublik;;República mercante;Repubblica Mercantile;;;;;;;;x;
theocracy_government;Theocracy;Théocratie;Theokratie;;teocracia;Teocrazia;;;;;;;;x;
muslim_government;Iqta;Iqtâ;Iqta;;Iqta;Iqta;;;;;;;;x;
tribal_government;Tribal;Organisation tribale;Stammesregierung;;Tribal;Tribale;;;;;;;;x;
RETCAP_FROM_GOVERNMENT;From Government: $AMOUNT$\n;Du gouvernement : $AMOUNT$\n;Durch Regierungsform: $AMOUNT$\n;;Del gobierno: $AMOUNT$\n;Dal governo: $AMOUNT$\n;;;;;;;;x;
GOVERNMENT_CANNOT_CREATE_KINGDOMS;Theocracies, Holy Orders and Mercenaries cannot create kingdoms!;Les théocraties, ordre sacrés et mercenaires ne peuvent pas créer de royaumes !;Theokratien, Orden und Söldner können keine Königreiche gründen!;;¡Teocracias, órdenes sagradas y mercenarios no pueden crear reinos!;Le Teocrazie, gli Ordini Sacri e i Mercenari non possono creare Regni!;;;;;;;;x;
GOVERNMENT_CANNOT_USURP_KINGDOMS_AND_EMPIRES;Merchant Republics and Patricians cannot usurp kingdoms or empires;Les républiques marchandes et les patriciens ne peuvent pas usurper de royaumes ou d'empires;Handelsrepubliken und Patrizier können keine Königreiche oder Reiche übernehmen;;Repúblicas mercantes y patricios no pueden usurpar reinos o imperios.;Le Repubbliche Mercantili e i Patrizi non possono usurpare Regni o Imperi;;;;;;;;x;
GAME_STATE_WAS_CORRUPTED;Game State is corrupted. Please restart the game.;La partie est endommagée. Veuillez redémarrer le jeu.;Spieldaten fehlerhaft. Bitte Spiel neu starten.;;El estado del juego se ha corrompido. Por favor, reinicia el juego.;La Partita è danneggiata. Si prega di riavviare il gioco.;;;;;;;;x;
TRIBAL_TAX;Tribal Tax;Impôt tribal;Stammesbesteuerung;;Impuesto tribal;Tasse Tribali;;;;;;;;x;
GOVERNMENT_CANT_BUILD_HOLDINGS;§R$GOVERNMENT$ rulers Cannot Build new Holdings§!;Les dirigeants d'un gouvernement de type '§R$GOVERNMENT$' ne peuvent pas construire de nouvelles propriétés§!;Herrscher der Regierungsform §R$GOVERNMENT$ können keine neuen Besitztümer errichten§!;;¡Los gobernantes de §R$GOVERNMENT$ no pueden construir nuevas Posesiones§!;I governanti di §R$GOVERNMENT$ non possono costruire nuovi Possedimenti§!;;;;;;;;x;
GOVERNMENT_NO_LIEGE_LEVY;Independent Tribal or Nomadic Rulers do not get liege levies from their vassal tribes;Les dirigeants tribaux et nomades indépendants ne peuvent pas percevoir de levées seigneuriales de leurs tribus vassales;Unabhängige Stammesherrscher oder Nomaden erhalten von ihren Vasallen keine Lehnstruppen.;;Los dirigentes tribales independientes no puede reclutar levas de sus vasallos tribales.;I Sovrani Tribali o Nomadici Indipendenti non possono ottenere le Leve dalle loro Tribù Vassalle;;;;;;;;x;
PLAYERS_IN_UNIT;Player Characters in Unit;Personnages joueurs de l'unité;Spieler-Charaktere in der Einheit;;Personajes de Jugadores en la Unidad;Personaggi Umani nell'Unità;;;;;;;;x;
PLAYERS_IN_ATTACKERS;Attacking Player Characters;Attaque de personnages joueurs;Angreifende Spieler-Charaktere;;Atacar a personajes humanos;Attacca dei Personaggi Umani;;;;;;;;x;
YOU_IN_ATTACKERS;You are an attacker in this battle;Vous êtes un attaquant dans ce combat;Ihr seid unter den Angreifern in dieser Schlacht.;;Eres un atacante en esta batalla;Sei un attaccante in questa battaglia;;;;;;;;x;
PLAYERS_IN_DEFENDERS;Defending Player Characters;Défense de personnages joueurs;Verteidigende Spieler-Charaktere;;Defender personajes humanos;Difendi dei Personaggi Umani;;;;;;;;x;
YOU_IN_DEFENDERS;You are a defender in this battle;Vous êtes un défenseur dans ce combat;Ihr gehört zu den Verteidigern in dieser Schlacht.;;Eres un defensor en esta batalla;Tu sei un difensore in questa battaglia;;;;;;;;x;
destroy_title_interaction_LONG_DESC;Destroy this title.;Détruisez ce titre.;Diesen Titel vernichten.;;Destruye este título.;Distruggi questo Titolo.;;;;;;;;x;
usurp_title_interaction_TITLE;Usurp Title;Usurper le titre;Titel übernehmen;;Usurpa título;Usurpa il Titolo;;;;;;;;x;
usurp_title_interaction_LONG_DESC;Usurp this title.;Usurpez ce titre.;Diesen Titel übernehmen.;;Usurpa este título.;Usurpa questo Titolo;;;;;;;;x;
create_title_interaction_LONG_DESC;Create this title.;Créez ce titre.;Diesen Titel erschaffen.;;Crear este título.;Crea questo Titolo;;;;;;;;x;
make_primary_title_interaction_LONG_DESC;Make this your primary title.;Désignez ce titre comme votre titre principal.;Diesen Titel zu Eurem Haupttitel erklären.;;Haz de este título tu título primario.;Designa questo come il tuo Titolo Principale.;;;;;;;;x;
make_capital_settlement_interaction_TITLE;Make Capital;Désigner comme capitale;Zur Hauptstadt machen;;Haga capital;Designa la Capitale;;;;;;;;x;
make_capital_settlement_interaction_DESC;I can make this my capital.;Je peux désigner cette propriété comme capitale.;Ich kann dieses Besitztum zur Hauptstadt machen.;;Puedo hacer que esta sea mi capital.;Posso designare questo Possedimento come la mia Capitale.;;;;;;;;x;
make_capital_settlement_interaction_LONG_DESC;Make this Holding your capital.;Désigner cette propriété comme votre capitale.;Besitztum zur Hauptstadt machen.;;Haz de este asentamiento tu capital.;Designa questo Possedimento come la tua Capitale.;;;;;;;;x;
WILL_CANCEL_OLD_PLOT;You can only have one Plot active at a time. Choosing a new Plot will cancel your current one.;Vous ne pouvez prendre part qu'à un seul complot à la fois. Choisir un nouveau complot annulera celui en cours.;Maximal eine Intrige kann aktiv sein. Bei der Auswahl einer neuen Intrige wird die aktuelle abgebrochen.;;Sólo puedes tener una trama activa a la vez. Al elegir una nueva trama, cancelarás la actual.;Puoi avere un solo Complotto attivo alla volta. La scelta di un nuovo Complotto annullerà quello corrente.;;;;;;;;x;
WILL_CANCEL_OLD_AMBITION;You can only have one Ambition active at a time. Choosing a new Ambition will cancel your current one.;Vous pouvez seulement avoir une ambition active à la fois. Choisir une nouvelle ambition annulera celle en cours.;Maximal eine Ambition kann ausgewählt sein. Bei der Auswahl einer neuen wird die aktuelle aufgehoben.;;Sólo puedes tener un ambición activa a la vez. Al elegir una nueva ambición, cancelarás la actual.;Puoi avere una sola Ambizione attiva alla volta. La scelta di una nuova Ambizione annullerà quella corrente.;;;;;;;;x;
WILL_CANCEL_OLD_FOCUS;You can only have one Focus active at a time. Choosing a new Focus will cancel your current one.;Vous pouvez seulement avoir un intérêt à la fois. Choisir un nouvel intérêt annulera celui en cours.;Maximal ein Fokus kann ausgewählt sein. Bei der Auswahl eines neuen wird der aktuelle aufgehoben.;;Sólo puedes tener un enfoque activo a la vez. Al elegir un enfoque nuevo, cancelarás el actual.;Puoi avere un solo Obiettivo alla volta. La scelta di un nuovo Obiettivo annullerà quello corrente.;;;;;;;;x;
alert_available_targetted_decision_instant;§YSpecial Character Actions Possible§!;§YActions spéciales de personnage possibles§!;§YSpezielle Personenaktionen möglich§!;;¡§YPosibles acciones especiales de personaje§!;§YAzioni Speciali del Personaggio Disponibili§!;;;;;;;;x;
alert_available_targetted_decision_delayed;The following Special Character Actions are available:\n$LIST$;Les actions spéciales de personnage suivantes sont disponibles :\n$LIST$;Folgende Sonderaktionen sind verfügbar:\n$LIST$;;Están disponibles las siguientes acciones especiales de personaje: \n$LIST$;Sono disponibili le seguenti azioni speciali per il Personaggio:\n$LIST$;;;;;;;;x;
alert_available_title_decision_instant;§YSpecial Title Actions Possible§!;§YActions spéciales de titre possibles§!;§YSpezielle Titelaktionen möglich§!;;¡§YPosibles acciones especiales de título§!;§YAzioni Speciali del Titolo Disponibili§!;;;;;;;;x;
alert_available_title_decision_delayed;The following Special Title Actions are available:\n$LIST$;Les actions spéciales de titre suivantes sont disponibles :\n$LIST$;Folgende Sonderaktionen sind verfügbar:\n$LIST$;;Están disponibles las siguientes acciones especiales de título: \n$LIST$;Sono disponibili le seguenti azioni speciali relative al Titolo:\n$LIST$;;;;;;;;x;
alert_available_settlement_decision_instant;§YSpecial Holding Actions Possible§!;§YActions spéciales de propriété possibles§!;§YSpezielle Besitztumsaktionen möglich§!;;¡§YPosibles acciones especiales de asentamiento§!;§YAzioni Speciali dei Possedimenti Disponibili§!;;;;;;;;x;
alert_available_settlement_decision_delayed;The following Special Holding Actions are available:\n$LIST$;Les actions spéciales de propriété suivantes sont disponibles :\n$LIST$;Folgende Sonderaktionen sind verfügbar:\n$LIST$;;Están disponibles las siguientes acciones especiales de asentamiento: \n$LIST$;Sono disponibili le seguenti azioni speciali relative ai Possedimenti:\n$LIST$;;;;;;;;x;
FLANK_DAMAGE_FINAL;Final Damage Values: §Y$DAMAGE$§! Damage (£1£), §Y$MORALE_DAMAGE$§! Morale Damage (£2£);Valeur finale de dégâts : §Y$DAMAGE$§! Dégâts (£1£), §Y$MORALE_DAMAGE$§! Dégâts moraux (£2£);Abschließende Schadenswerte: §Y$DAMAGE$§! Schaden (£1£), §Y$MORALE_DAMAGE$§! Moralschaden (£2£);;Valores de daño final: §Y$DAMAGE$§! Daño (£1£), §Y$MORALE_DAMAGE$§! Daño moral (£2£);Valore Finale del Danno: §Y$DAMAGE$§! Danno (£1£), §Y$MORALE_DAMAGE$§! Danno al Morale (£2£);;;;;;;;x;
